model,task,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,support
baseline,sentiment,0.8,0.7368421052631579,0.8002105263157895,0.7384615384615385,0.737037037037037,200
single_task_sentiment,sentiment,0.805,0.5428477826056969,0.7940619180633146,0.5427178800672777,0.5496632996632996,200
multitask,sentiment,0.7,0.5885168336357837,0.6932270862853307,0.6050729027828264,0.6034511784511785,200
baseline,authenticity,0.8,0.7999199679871949,0.7999199679871949,0.8004807692307692,0.8,100
single_task_authenticity,authenticity,0.73,0.7087692805522597,0.7087692805522597,0.8246753246753247,0.73,100
multitask,authenticity,0.86,0.8579545454545454,0.8579545454545454,0.8820033955857385,0.86,100
